program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
cbs_60mins,20110919,20110925,twitter,weekly,10459,,8498,,,,,,,,,,,10459,6,2011-09-26 16:59,2011-09-26 16:59,,,,,,,US,,CBS,SUN
cbs_bigbang,20110919,20110925,twitter,weekly,54830,,40328,,,,,,,,,,,54830,1,2011-09-26 16:59,2011-09-26 16:59,,,,,,,US,,CBS,THU
cbs_bigbrother,20110919,20110925,twitter,weekly,19108,,14219,,,,,,,,,,,19108,3,2011-09-26 16:59,2011-09-26 16:59,,,,,,,US,,CBS,"WED,THU"
cbs_criminalminds,20110919,20110925,twitter,weekly,16562,,10887,,,,,,,,,,,16562,5,2011-09-26 16:59,2011-09-26 16:59,,,,,,,US,,CBS,WED
cbs_ncis,20110919,20110925,twitter,weekly,30421,,17826,,,,,,,,,,,30421,2,2011-09-26 16:59,2011-09-26 16:59,,,,,,,US,,CBS,TUE
kbs1_greatking,20110815,20110821,me2day,weekly,12,31,12,12,1,,,2,,,,2,,0.111177397,25,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110822,20110828,me2day,weekly,8,4,7,3,0,1,,2,,1,,2,,0.11098176,25,2011-09-26 16:54,2011-09-26 16:54,0.125,,0.1429,,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110905,20110911,me2day,weekly,50,42,34,17,0,,1,1,1,,1,1,1,0.112986,17,2011-09-26 16:54,2011-09-26 16:54,,0.02,,0.0294,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110919,20110925,me2day,weekly,57,133,37,28,3,,,,,,,,,0.113334311,21,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110919,20110925,twitter,weekly,304,,201,,,,,,,,,,,304,17,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,KBS1,"SAT,SUN"
kbs2_gagcon,20110815,20110821,me2day,weekly,811,9438,644,66,289,62,15,3,3,61,15,3,3,0.150675693,6,2011-09-26 16:54,2011-09-26 16:54,0.0764,0.0185,0.0947,0.0233,0.2419,0.2459,KO,entertain,KBS2,SUN
kbs2_gagcon,20110822,20110828,me2day,weekly,855,6936,678,110,347,77,6,21,3,74,6,16,2,0.153051279,2,2011-09-26 16:54,2011-09-26 16:54,0.0901,0.007,0.1091,0.0088,0.0779,0.0811,KO,entertain,KBS2,SUN
kbs2_gagcon,20110905,20110911,me2day,weekly,200,537,157,47,96,18,,17,1,18,,13,1,0.120600672,5,2011-09-26 16:54,2011-09-26 16:54,0.09,,0.1146,,,,KO,entertain,KBS2,SUN
kbs2_gagcon,20110919,20110925,me2day,weekly,994,5499,747,343,486,,,,,,,,,0.160345582,2,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,KBS2,SUN
kbs2_gagcon,20110919,20110925,twitter,weekly,1922,,1481,,,,,,,,,,,1922,8,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110815,20110821,me2day,weekly,813,2253,707,183,354,71,10,29,4,67,10,22,4,0.151080338,4,2011-09-26 16:54,2011-09-26 16:54,0.0873,0.0123,0.0948,0.0141,0.1408,0.1493,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110822,20110828,me2day,weekly,442,1870,354,48,161,33,1,9,,28,1,8,,0.132458117,8,2011-09-26 16:54,2011-09-26 16:54,0.0747,0.0023,0.0791,0.0028,0.0303,0.0357,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110905,20110911,me2day,weekly,63,103,59,24,47,4,1,3,,4,1,2,,0.113829939,11,2011-09-26 16:54,2011-09-26 16:54,0.0635,0.0159,0.0678,0.0169,0.25,0.25,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110919,20110925,me2day,weekly,637,1546,514,174,137,,,,,,,,,0.141649349,4,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110919,20110925,twitter,weekly,1878,,1332,,,,,,,,,,,1878,9,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,entertain,KBS2,SUN
