user,create_date,total_tweet_count,positive_tweet_count,negative_tweet_count
mashable,2011-05-26,46,8,0
mashable,2011-05-27,53,18,3
mashable,2011-05-28,32,11,3
mashable,2011-05-29,17,5,2
mashable,2011-05-30,20,8,3
mashable,2011-05-31,40,16,5
mashable,2011-06-01,54,12,6
mashable,2011-06-02,63,20,1
mashable,2011-06-03,48,14,1
mashable,2011-06-04,34,12,1
mashable,2011-06-05,9,4,0
mashable,2011-06-06,24,3,2
mashable,2011-06-07,60,14,3
mashable,2011-06-08,44,15,2
mashable,2011-06-09,56,15,4
mashable,2011-06-10,53,16,2
mashable,2011-06-11,43,9,5
mashable,2011-06-12,18,6,1
mashable,2011-06-13,27,5,7
mashable,2011-06-14,51,17,1
mashable,2011-06-15,38,10,2
mashable,2011-06-16,56,13,5
mashable,2011-06-17,56,12,7
mashable,2011-06-18,40,14,1
mashable,2011-06-19,21,8,1
mashable,2011-06-20,30,9,4
mashable,2011-06-21,51,15,4
mashable,2011-06-22,56,15,4
mashable,2011-06-23,54,12,3
mashable,2011-06-24,48,12,2
mashable,2011-06-25,46,13,3
mashable,2011-06-26,21,11,1
mashable,2011-06-27,32,16,1
mashable,2011-06-28,51,16,1
mashable,2011-06-29,51,12,2
mashable,2011-06-30,57,15,1
mashable,2011-07-01,47,12,0
mashable,2011-07-02,43,15,2
mashable,2011-07-03,19,5,1
mashable,2011-07-04,19,3,2
mashable,2011-07-05,39,12,3
mashable,2011-07-06,55,15,7
mashable,2011-07-07,56,12,4
mashable,2011-07-08,46,17,1
Oprah,2011-05-13,4,4,0
Oprah,2011-05-15,35,17,1
Oprah,2011-05-16,67,27,5
Oprah,2011-05-17,1,1,0
Oprah,2011-05-18,2,1,1
Oprah,2011-05-19,6,4,0
Oprah,2011-05-20,4,1,1
Oprah,2011-05-23,13,6,2
Oprah,2011-05-26,1,1,0
Oprah,2011-05-27,3,2,0
Oprah,2011-06-02,1,0,0
Oprah,2011-06-13,8,4,2
Oprah,2011-06-20,1,0,0
Oprah,2011-06-25,2,2,0
Oprah,2011-06-27,1,1,0
Oprah,2011-07-04,3,1,0
realDonaldTrump,2011-05-13,2,0,0
realDonaldTrump,2011-05-14,3,0,0
realDonaldTrump,2011-05-16,1,0,0
realDonaldTrump,2011-05-17,3,2,0
realDonaldTrump,2011-05-18,1,0,1
realDonaldTrump,2011-05-19,1,0,0
